State,Year,Paddy,Crops,Fisheries,Livestock,Fisherman,Agro-entrepreneur,High Value Commodity,Total Loss,State_Year
Johor,2024,0,725,1635,52,0,18,0,2430,Johor_2024
Kedah,2024,117474,347,27,269,0,4,89,118210,Kedah_2024
Kelantan,2024,10374,8544,1020,2159,0,346,0,22444,Kelantan_2024
Melaka,2024,0,230,145,97,0,0,0,472,Melaka_2024
Negeri Sembilan,2024,0,699,443,68,0,0,0,1210,Negeri Sembilan_2024
Pahang,2024,0,2156,6462,190,0,0,0,8807,Pahang_2024
Pulau Pinang,2024,0,11,50,0,0,2,0,63,Pulau Pinang_2024
Perak,2024,0,137,150,26,0,0,0,312,Perak_2024
Perlis,2024,0,167,0,0,0,9,0,176,Perlis_2024
Selangor,2024,0,1699,171,0,0,0,0,1870,Selangor_2024
Terengganu,2024,0,2069,2769,1294,0,0,0,6132,Terengganu_2024
Sabah,2024,0,0,0,44,0,0,0,44,Sabah_2024
Sarawak,2024,0,444,10,0,0,0,0,453,Sarawak_2024
Kuala Lumpur,2024,0,0,0,0,0,0,0,0,Kuala Lumpur_2024
Johor,2025,0,720,12236,54,0,0,0,13010,Johor_2025
Kedah,2025,0,223,4238,579,0,0,0,5040,Kedah_2025
Kelantan,2025,0,2323,1276,781,0,4,0,4384,Kelantan_2025
Melaka,2025,0,232,0,280,0,0,0,512,Melaka_2025
Negeri Sembilan,2025,0,395,1958,22,0,249,0,2623,Negeri Sembilan_2025
Pahang,2025,0,2414,1570,281,0,23,0,4289,Pahang_2025
Pulau Pinang,2025,0,252,2334,7,0,0,0,2593,Pulau Pinang_2025
Perak,2025,0,2426,1987,0,0,66,0,4479,Perak_2025
Perlis,2025,0,381,376,465,0,0,0,1222,Perlis_2025
Selangor,2025,0,4224,5054,303,0,0,0,9582,Selangor_2025
Terengganu,2025,0,785,223,0,0,5,0,1012,Terengganu_2025
Sabah,2025,0,0,3088,349,0,209,0,3646,Sabah_2025
Sarawak,2025,0,0,0,0,0,94,0,94,Sarawak_2025
Kuala Lumpur,2025,0,0,0,0,0,0,0,0,Kuala Lumpur_2025
