State,Year,Living Quarters,Vehicles,Business Premisses,Manufacturing,Agriculture,Infrastructure,Total Loss,State_Year
Johor,2024,21280,2072,3434,0,2433,29748,58968,Johor_2024
Kedah,2024,54013,2095,4291,0,118210,15053,193662,Kedah_2024
Kelantan,2024,139015,3984,27066,1091,43788,48089,263033,Kelantan_2024
Melaka,2024,1048,82,63,0,472,7249,8913,Melaka_2024
Negeri Sembilan,2024,2922,77,62,0,1210,16180,20451,Negeri Sembilan_2024
Pahang,2024,10961,892,393,0,8807,16220,37273,Pahang_2024
Pulau Pinang,2024,887,73,34,0,63,7661,8718,Pulau Pinang_2024
Perak,2024,12172,720,637,0,312,43398,57239,Perak_2024
Perlis,2024,530,203,248,0,176,3988,5144,Perlis_2024
Selangor,2024,6629,271,0,0,1887,13788,22576,Selangor_2024
Terengganu,2024,103128,5814,16427,72,6661,49855,181957,Terengganu_2024
Sabah,2024,17318,688,1237,0,684,16914,36840,Sabah_2024
Sarawak,2024,2199,192,168,0,518,24280,27357,Sarawak_2024
Kuala Lumpur,2024,61,125,0,0,0,7960,8146,Kuala Lumpur_2024
Labuan,2024,69,0,0,0,0,2300,2369,Labuan_2024
Putrajaya,2024,0,10,0,0,0,697,707,Putrajaya_2024
Johor,2025,26189,874,2143,0,13010,29843,72059,Johor_2025
Kedah,2025,9774,417,1322,0,5040,20113,36666,Kedah_2025
Kelantan,2025,15618,498,899,0,4384,67140,88538,Kelantan_2025
Melaka,2025,729,44,22,0,512,12901,14208,Melaka_2025
Negeri Sembilan,2025,840,40,30,0,2623,12902,16436,Negeri Sembilan_2025
Pahang,2025,18776,702,1307,0,4289,19046,44119,Pahang_2025
Pulau Pinang,2025,849,61,10,0,2593,8742,12254,Pulau Pinang_2025
Perak,2025,15337,615,844,0,4479,15378,36653,Perak_2025
Perlis,2025,5207,211,366,0,1222,22995,30001,Perlis_2025
Selangor,2025,15288,359,1049,0,9582,26585,52863,Selangor_2025
Terengganu,2025,14947,430,858,76,1012,71849,89172,Terengganu_2025
Sabah,2025,27709,1254,1823,0,3649,23982,58417,Sabah_2025
Sarawak,2025,32554,806,2686,0,164,25025,61234,Sarawak_2025
Kuala Lumpur,2025,0,522,90,0,0,20148,20759,Kuala Lumpur_2025
Labuan,2025,0,0,0,0,0,2254,2254,Labuan_2025
Putrajaya,2025,0,0,0,0,0,1279,1279,Putrajaya_2025
