Year,Sector,Loss,National_Total_Loss,Sector_Share_Percent
2024,Living Quarters,372231.7915426318,933354.0243107413,39.881093545133176
2024,Vehicles,17298.247910446997,933354.0243107413,1.8533426181154917
2024,Business Premisses,54059.44239999999,933354.0243107413,5.79195471299559
2024,Manufacturing,1163.091,933354.0243107413,0.12461413029840564
2024,Agriculture,185221.8037976625,933354.0243107413,19.844753327596585
2024,Infrastructure,303379.64766,933354.0243107413,32.50424166586075
2025,Living Quarters,183815.51662189595,636913.324292946,28.860366020125944
2025,Vehicles,6832.679284383395,636913.324292946,1.0727800822770555
2025,Business Premisses,13448.684466666668,636913.324292946,2.1115407628811034
2025,Manufacturing,75.6,636913.324292946,0.01186974696814916
2025,Agriculture,52559.12566,636913.324292946,8.252162995388304
2025,Infrastructure,380181.71826,636913.324292946,59.691280392359445
