State,Year,Top_District,Top_District_Loss,State_District_Total_Loss,Top_District_Share_Percent,Top_District_Loss_per_1000_LQ,Top_District_Dominant_Category
Johor,2024,Kota Tinggi,11448.549346153846,26786.580158112905,42.73986928744392,198.11977548461297,Living Quarters
Johor,2025,Johor Bahru,15948.29648,29206.39596,54.60549292641994,34.619860420388605,Living Quarters
Kedah,2024,Kota Setar,25766.101000000002,60399.235,42.65964792434872,268.5591398970211,Living Quarters
Kedah,2025,Kota Setar,3451.805,11512.168,29.983970004607297,35.978038815117465,Living Quarters
Kelantan,2024,Pasir Mas,57990.25133758714,171156.46470539473,33.88142623616561,1285.0170922174068,Living Quarters
Kelantan,2025,Kota Bharu,6576.24664383562,17014.38727340836,38.65109297302512,56.944595781578734,Living Quarters
Melaka,2024,Jasin,558.878,1192.5010000000002,46.866040363907445,14.198775437615916,Living Quarters
Melaka,2025,Jasin,553.3525,794.8844999999999,69.61420181170975,14.058395365971391,Living Quarters
Negeri Sembilan,2024,Tampin,1940.8616190476184,3060.538285714285,63.41569481770589,87.29643408661082,Living Quarters
Negeri Sembilan,2025,Port Dickson,508.46999999999997,910.4973333333337,55.845303592322416,15.550967978713642,Living Quarters
Pahang,2024,Raub,5449.115264069264,12246.046845265846,44.496933034155575,237.76574151624334,Living Quarters
Pahang,2025,Kuantan,15644.6047714286,20784.8927174286,75.26911485239587,107.69329366991532,Living Quarters
Perak,2024,Kinta,9242.004188,13529.077769151832,68.31215213407265,37.7767412282136,Living Quarters
Perak,2025,Manjung,6300.356,16796.415999999997,37.510121206809835,100.18056924789315,Living Quarters
Perlis,2024,Kangar,510.055,980.23,52.03421645940238,0,Living Quarters
Perlis,2025,Kangar,3779.79,5783.79,65.35143910826638,0,Living Quarters
Pulau Pinang,2024,Seberang Perai Utara,635.4709999999993,994.140999999999,63.9216167525532,7.306699934460904,Living Quarters
Pulau Pinang,2025,Seberang Perai Utara,686.635388888889,919.6469700854699,74.66293167095137,7.894992455978303,Living Quarters
Sabah,2024,Penampang,18193.2233333333,19242.93664761901,94.54494221174086,439.44983896940334,Living Quarters
Sabah,2025,Keningau,12734.7415,30786.100033333336,41.36523134210435,368.6954690214244,Living Quarters
Sarawak,2024,Kuching,1712.572380952381,2558.789060952381,66.92901760002685,11.99851736788093,Living Quarters
Sarawak,2025,Bintulu,13491.565,36045.188,37.429586995079625,315.289780561333,Living Quarters
Selangor,2024,Kuala Selangor,2231.7463120170964,6900.379480867847,32.3423707088123,29.19337988432635,Living Quarters
Selangor,2025,Kuala Selangor,8515.48247126436,16695.96308535693,51.00324208750079,111.39066897673369,Living Quarters
Terengganu,2024,Besut,46158.506,125440.8719,36.797022613807265,1270.009795019948,Living Quarters
Terengganu,2025,Marang,4521.0199999999995,16310.6505,27.71820780538458,162.866817968947,Living Quarters
